assignment_index,label_seed,cv_r2,in_sample_r2,pearson_label_hz_outcome
106,20260824,-0.00493690343463693,0.00036605347338891647,0.01713337191179088
107,20260825,-0.003617777856556481,0.003689000574702339,-0.01658110602874569
108,20260826,-0.006913386907591468,0.0005820372520628503,-0.01013042683392479
109,20260827,-0.009476466187035681,0.0011546019609991465,-0.023153821606230706
110,20260828,-0.002095940747415037,0.0017326638949994866,-0.005697030868192525
111,20260829,-0.002740849004056356,0.0034726984149483497,-0.03806730488939272
112,20260830,-0.0017020323779854962,0.0012816285125648585,-0.001859370776476874
113,20260831,0.001352763073843799,0.008153275877667898,0.04792646977374171
114,20260832,-0.006664968740007771,0.00367029115059081,-0.007433354164298465
115,20260833,-0.005208723595107934,3.1395243385023974e-05,0.005513829724987349
116,20260834,-0.005681785905910175,0.004654093950564819,0.007631624235986242
117,20260835,-0.0038099519106162827,0.00233608780408856,-0.019108925793215593
118,20260836,-0.006800365773615535,0.0011348731855954641,0.015650936776547605
119,20260837,-0.004448902867254745,0.000587790682502809,0.021232922759665415
120,20260838,-0.010315922118886212,0.0007116918289976626,-0.018074055552849227
121,20260839,-0.008950465093092275,0.0011383076218383081,0.0019710120866139073
122,20260840,-0.004340324856336508,0.0006364078810043861,0.009741053673666128
123,20260841,-0.006758753239355819,0.0013290740885807395,-0.0029733029605116287
124,20260842,-0.0015548098089335216,0.003947111500743672,0.044963741983638596
125,20260843,-0.002364425207354248,0.0040796313996912525,0.05083758935639694
126,20260844,-0.006264642263205333,0.0019917861348988097,0.02732706391592428
127,20260845,-0.004373098427985944,0.008174344244478715,-0.07400748053981109
128,20260846,-0.006883675500334974,0.0004325812847649768,0.016418720886048913
129,20260847,0.004572744219794589,0.012285853342241304,0.07297263257089351
130,20260848,-0.008155724121395647,0.0032895283478905357,-0.05222482885505159
131,20260849,-0.0021481444104003433,0.008545921714771088,-0.0047380919646896865
132,20260850,-0.0014868338010096682,0.0025864158136288395,-0.026401089296426178
133,20260851,-0.005774241570472904,0.0023432647262714434,0.048314877191468195
134,20260852,-0.005066963424214421,0.0026850066965292685,0.05031564792010514
135,20260853,-0.004087554274772254,0.0024665222541206955,0.0234676556885756
136,20260854,-0.003877248608556094,0.00011618717037309434,-0.0033310122738881977
137,20260855,-0.006070134925207471,0.0004723797070342872,0.014534661282060544
138,20260856,-0.0021468443872474374,0.0032360149890818812,0.03599513046442374
139,20260857,-0.009562615834030064,0.0036900039171275933,0.02208933498286989
140,20260858,-0.007279812599061852,0.0032356054859776773,0.04922895889108205
141,20260859,-0.006975401470705744,0.003474823804182181,0.05878561727996173
142,20260860,-0.009451292314868853,0.00017641060846229628,-0.0027286009050932246
143,20260861,-0.000583337135093176,0.005564261765729772,-0.028353713737730112
144,20260862,-0.002201690225211328,0.0029388030569242884,0.025352192534810563
145,20260863,-0.004929281128723373,0.0018123514746170022,-0.01993517663458615
146,20260864,-0.004522945723715921,0.0008018431150038641,0.008829207449737923
147,20260865,-0.0010271340708705168,0.004806243342484029,-0.04878329822986962
148,20260866,-0.011447424363639547,0.0010930333546044224,-0.001324803103102012
149,20260867,-0.007738065457171928,0.0008725845895872775,0.020603371895100732
150,20260868,-0.006036163429198993,0.0005539544869144208,-0.01750770755690174
151,20260869,-0.0062601036597063064,0.001259440681131374,0.01528913197713642
152,20260870,-0.006431181839333222,0.0013892196879019547,0.00229466467137608
153,20260871,-0.004629377269588231,0.0027296082722193526,-0.044984191105953246
154,20260872,-0.0027601371014003284,0.00034630070796659584,0.015751471493358635
155,20260873,-0.0039012562817013485,0.0004247673579985678,-0.000827073617311018
156,20260874,0.0005259947508819973,0.004408317482233692,0.043043481515781634
157,20260875,-0.011112152914428464,0.0004432036981496523,0.001946952416804067
158,20260876,-0.00657480642641417,0.000948655607439175,-0.011918244116409096
159,20260877,-0.003863961403090199,0.001331467852576429,-0.03357602160179263
160,20260878,-0.0029189828893041447,0.0035932114425688555,0.043523078410875715
161,20260879,-0.002519879307229189,0.0014707111692923158,-0.015216176676436599
162,20260880,2.4571624515856705e-05,0.004018605627960303,-0.0022033207254529125
163,20260881,-0.004426927955164972,0.0004672536895385937,0.009581038317810382
164,20260882,-0.011308506921568151,0.0018468069313977153,-0.009504251194657991
165,20260883,-0.003694157034500156,0.005286256101973197,0.044683436734750934
166,20260884,0.00025994100271586884,0.002773024426091397,0.04720021570206471
167,20260885,-0.0029115540516253535,0.001290186161552631,0.02794007580647065
168,20260886,-0.006287498686605719,0.00041097070578921535,-0.00456235163580441
169,20260887,-0.005071931303114008,0.0031430033835903037,0.01411873156699803
170,20260888,-0.004473940581890989,0.002779241013653566,-0.0022361479985006593
171,20260889,-0.002307695481654104,0.007405718907371628,-0.01985035461553649
172,20260890,-0.006884830732702962,0.0006050747368133713,0.008707413944892165
173,20260891,-0.0023991778217937743,0.002989231974839468,-0.020111954664361904
174,20260892,-0.011280608762310296,0.0015640492435313735,-0.03594912729862003
175,20260893,-0.009327889735192718,0.0006532387657137706,0.004682323269495589
176,20260894,-0.00622585123500663,0.004026841758066557,-0.05047563766086427
177,20260895,-0.0035221992413354553,0.004324421601966777,0.026409854180623936
178,20260896,-0.004752879334346316,0.0026760248225964345,0.03350714509648705
179,20260897,0.0010504359875883607,0.00715285545023725,0.004096661720184277
180,20260898,-0.005320339464007118,0.004641738070419454,0.021756554705876733
181,20260899,-0.005127378422623563,0.002817182381999239,-0.02437745965421596
182,20260900,-0.003853265266542172,0.0025594056330341397,-0.04906931682329188
183,20260901,-0.010336805522038084,0.002179741854438033,-0.019523390816090714
184,20260902,0.002316156002629688,0.007011102353001508,0.009267301171562704
185,20260903,-0.0037125032319518247,0.00118213802822964,9.643544408931282e-06
186,20260904,-0.007778866963046527,0.0004241408882876829,0.009484182610800735
187,20260905,-0.002933166406402954,0.007568235680352586,0.020777076980010547
188,20260906,-0.0030374629005394116,0.002697731101082179,0.029907390881215308
189,20260907,-0.00046112283463295434,0.00573471356102484,-0.01144530794730805
190,20260908,0.0018379098497149915,0.007748646557567351,0.028825570468266344
191,20260909,-0.010648505842350442,0.0018575377996927767,0.013692632525946019
192,20260910,-0.0026622880094380186,0.002720888685576628,0.025997139253529138
193,20260911,0.0001928675628061205,0.004685362648319535,0.059189704200349295
194,20260912,0.0006185500942920141,0.010117819218570356,-0.051933708533300475
195,20260913,-0.006885318615539093,0.0018446941573034836,0.04140249018734298
196,20260914,-0.007169796314401067,0.00238264257729226,-0.00935743754291851
197,20260915,-0.0034085437706528054,0.005569986043376773,0.06448972881877282
198,20260916,-0.005479940421960761,0.00044952947665721776,0.009845425781793525
199,20260917,0.000744139038084346,0.00443813865895426,-0.02656871865906326
200,20260918,-0.006951183896867219,0.0013776881992063617,-0.004910843103903377
201,20260919,-0.002146891708323384,0.005972765652095036,-0.019606736821970592
202,20260920,-0.004853391898997028,0.001520936924752414,-0.025512843459546825
203,20260921,-0.00818931237474807,0.0009523375066883277,-0.0118987059053889
204,20260922,-0.0019267251582049116,0.0013876695656793725,0.017795088355467167
205,20260923,-0.00116636874911058,0.0026209215599708457,0.025670677448145537
206,20260924,-0.0059669324565507775,0.0012188817641636263,-0.019160496084994916
207,20260925,0.003306246425580195,0.009236956474686586,-0.07683431890185122
208,20260926,-0.005842656648331168,0.0009570125763087578,0.01512545468362966
209,20260927,-0.0034055682061440162,0.0013697863735877558,0.007634291892505775
210,20260928,-0.005857994550829249,0.00094331223399724,-0.027114351898593715
211,20260929,-0.007082492626491632,0.0009382923504118734,-0.02505068972101608
212,20260930,-0.005773483794580869,0.00016719257635700036,-0.0021459668095232644
213,20260931,-0.00579783116360888,0.0044823577692303385,0.05905453885508724
214,20260932,-0.006314457191303857,0.0021281197277203123,-0.028378889675089225
215,20260933,3.727337966974442e-05,0.008079498394877538,-0.046194932087768655
216,20260934,-0.010449433551448006,0.0007600114747067233,-0.0007071992383933956
217,20260935,-0.005957979760097487,0.001933849315387981,-0.02201617447620028
218,20260936,-0.005155326029383955,0.003985709263919834,-0.007330057564024302
219,20260937,-0.007789777149320498,0.0009109058081405719,-0.0035713367864395607
220,20260938,0.004559995651808868,0.010661307212604165,-0.06490175979382412
221,20260939,-0.006811546045655481,0.001829741867149015,-0.03352110683200066
222,20260940,-0.005478519719695596,0.0017081283544325698,0.031135589206406942
223,20260941,-0.021577021918193662,0.00030162178843218257,-0.001403204311286529
224,20260942,-0.004656670410748021,0.00018632822973507768,0.0029833177553349856
225,20260943,-0.00560682243343491,0.000956621665296864,-0.0215695335310646
226,20260944,-0.001187204808323683,0.002873456913136785,-0.014275160940407847
227,20260945,-0.006285191234844056,0.0022927361727991258,-0.011066767508076438
228,20260946,-0.0030453385535049726,0.002740194368662685,0.022681668141168256
229,20260947,-0.0008194362154081425,0.0025569126208093707,0.02131279337295823
230,20260948,0.0007650488793931043,0.0056607780381418005,-0.06638636496874892
231,20260949,-0.009004021770797177,0.0009579790426369472,0.01582221584128857
232,20260950,-0.0033669260265201117,0.010085185769865723,0.03591457118231395
233,20260951,-0.007737559579515274,0.005524603342540124,0.022204051035485055
234,20260952,-0.0033809807766054245,0.0033379585710793247,-0.0386283894153891
235,20260953,-0.0036002336398228696,0.002063102691265861,-0.030673308471528094
