agent_id,seed,K,gamma,D,global_mean_r,intrinsic_omega,abs_intrinsic_omega,mean_local_alignment
261,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.23728973609908635,0.23728973609908635,0.81060555224636643
262,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-2.7547362081746325,2.7547362081746325,0.0074623254395729229
263,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.22588923837804026,0.22588923837804026,0.86082946661875392
264,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.11497269793106989,0.11497269793106989,0.88091848151573804
265,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.30750069218433584,0.30750069218433584,0.74879115890897385
266,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.1053661584526064,1.1053661584526064,0.043496961073415219
267,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.51422105161427467,0.51422105161427467,0.36752648631801749
268,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.11683639742856992,0.11683639742856992,0.88875191014556232
269,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.43973747586380946,0.43973747586380946,0.61543778931043891
270,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.025785031745450934,0.025785031745450934,0.9107195016979811
271,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.14621856080773615,0.14621856080773615,0.9026239607925981
272,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.60094438163382058,0.60094438163382058,0.35548052431220678
273,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.12059619020129654,0.12059619020129654,0.87616180429727208
274,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.23439063575445526,0.23439063575445526,0.77454072983600453
275,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.16538561471223007,0.16538561471223007,0.90670799924279744
276,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.47647182637879593,0.47647182637879593,0.63802850947416789
277,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.17664419862901695,0.17664419862901695,0.86300579315993564
278,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-2.106701837797742,2.106701837797742,0.019857266808142916
279,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.090751356398160815,0.090751356398160815,0.92306459979204769
280,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.0072884726341893311,0.0072884726341893311,0.9277537641114858
281,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.64515156051579647,0.64515156051579647,0.31241943990827203
282,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.30367476842072572,0.30367476842072572,0.76758852647482145
283,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.667733132937814,1.667733132937814,0.0013953095258075309
284,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.22037738687132585,0.22037738687132585,0.8584361425735163
285,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.6335338622073483,1.6335338622073483,0.045615390092538212
286,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.082163711621581551,0.082163711621581551,0.89112680917450116
287,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.052524853247085494,0.052524853247085494,0.92899375659342009
288,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.57107024453341004,0.57107024453341004,0.40668253580610786
289,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.29071996296493213,0.29071996296493213,0.7827218500424421
290,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.080467438837586169,0.080467438837586169,0.88832757829112652
291,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-2.4989879131178871,2.4989879131178871,0.0083755157979594121
292,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,1.4540233718916964,1.4540233718916964,-0.017708596712595559
293,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.3313947484568602,1.3313947484568602,0.040374304463559697
294,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.096876461013333748,0.096876461013333748,0.90589014390446476
295,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.10762054037576337,0.10762054037576337,0.84426011801088374
296,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.6393229040319639,0.6393229040319639,0.16592457694073509
297,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.14213025596061951,0.14213025596061951,0.89880640960451008
298,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.0049860985244072386,0.0049860985244072386,0.90519216248600831
299,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-18.107145247134508,18.107145247134508,0.0017924219308209513
300,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.42148643898217536,0.42148643898217536,0.67053255859074834
301,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.061400467885845744,0.061400467885845744,0.87170491338418121
302,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.060587822193644711,0.060587822193644711,0.92041913181120771
303,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.033563581552202786,0.033563581552202786,0.90131417218769538
304,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.13910133731875832,0.13910133731875832,0.88188874090553848
305,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.41278001116323459,0.41278001116323459,0.7122630893038826
306,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.4558740664550251,0.4558740664550251,0.63987533377613548
307,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.0045915595367891,1.0045915595367891,0.065367893449153044
308,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.66320522836437323,0.66320522836437323,0.17269727877667795
309,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.14621856080773615,0.14621856080773615,0.87275672460491971
310,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.46944785673320544,0.46944785673320544,0.41603033135229323
311,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.46944785673320544,0.46944785673320544,0.53214044963135509
312,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.15992730285480306,0.15992730285480306,0.87879342338253819
313,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-3.7846100527011415,3.7846100527011415,3.6198870585713011e-05
314,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.30750069218433584,0.30750069218433584,0.76250404947204442
315,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.028112755809428607,0.028112755809428607,0.91453480872651138
316,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.4558740664550251,0.4558740664550251,0.48821032754525662
317,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-3.9697492657729865,3.9697492657729865,-0.011206526591705002
318,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.12632045773382555,0.12632045773382555,0.89920723916707701
319,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.076255650315525156,0.076255650315525156,0.88900132932481912
320,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.5480302683645728,0.5480302683645728,0.51379959683955045
321,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.20710236385496628,0.20710236385496628,0.76268296737123076
322,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.36800952821470301,0.36800952821470301,0.73834266537392379
323,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.25076816935349866,0.25076816935349866,0.79680086638739178
324,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.084721027764070936,0.084721027764070936,0.9023154808017898
325,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.3655914620247358,0.3655914620247358,0.75395665539409451
326,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,3.189059522473634,3.189059522473634,0.0077003675408145646
327,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,1.1377679248185528,1.1377679248185528,0.074863208810573262
328,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.01420457839295762,0.01420457839295762,0.92551909552186484
329,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.075418081232785081,0.075418081232785081,0.91358976315884088
330,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.15992730285480306,0.15992730285480306,0.90502613201137039
331,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.13610328421737908,0.13610328421737908,0.89085158380458607
332,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.30558055660099387,0.30558055660099387,0.83260804776247455
333,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.205812291633691,0.205812291633691,0.83354466593557097
334,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.35613190767649683,0.35613190767649683,0.70857246932180251
335,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.28713711586088175,0.28713711586088175,0.666329105098873
336,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-2.6639134747980999,2.6639134747980999,1.8861209505046782e-05
337,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.088155778171771726,0.088155778171771726,0.91310290539703087
338,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,2.0528617938028826,2.0528617938028826,-0.0017145650281313817
339,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.087294347068446146,0.087294347068446146,0.91323744336816215
340,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,8.5751848345866222,8.5751848345866222,-0.0018463757522666851
341,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.047737746275371883,0.047737746275371883,0.89197338216621769
342,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.44931271837292119,0.44931271837292119,0.63422141177277713
343,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.077935515926225774,0.077935515926225774,0.90368750963523781
344,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.84748555207307641,0.84748555207307641,0.15332273129412252
345,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.77671168491082065,0.77671168491082065,0.17705482919325491
346,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.0034516760730071978,0.0034516760730071978,0.90482361626157304
347,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.035126518275248458,0.035126518275248458,0.9094946815671715
348,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.61149771571170197,0.61149771571170197,0.32725131204639013
349,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.1321522213417636,0.1321522213417636,0.89193335465292378
350,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.10310438296801616,0.10310438296801616,0.88174770794602453
351,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.23583599070807959,0.23583599070807959,0.79722043734224568
352,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,1.5690896356741164,1.5690896356741164,0.041965939993673596
353,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.34254605914345176,0.34254605914345176,0.72024280392185347
354,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-2.0016678176235367,2.0016678176235367,0.02865513055482492
355,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.45921007975220729,0.45921007975220729,0.58133277723724808
356,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.55705716367987668,0.55705716367987668,0.53181751818212053
357,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.32546163220400759,0.32546163220400759,0.65160035796055127
358,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.14932344495670619,0.14932344495670619,0.88578223572678905
359,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.25699999906312337,0.25699999906312337,0.8564841357148808
